id,product,cargoCapacity,transportRegion,name,recurringCosts,co2Emissions,speed,poolContainers,poolMachines,poolJigs,resourceType
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,a57aec4a_77c3_4bd1_b515_4e5c0df31162,18419774_9326_4ae8_9c80_4c9784b48cd7,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,6383eea1_bfae_4d34_8b00_001f6e794edb,18419774_9326_4ae8_9c80_4c9784b48cd7,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,01480973_ec50_4293_ad93_d62285fd5b62,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,0dc67983_0317_4b51_b312_d93a32e2b031,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,11ae1deb_194b_4bb2_b8bc_f860d5d90238,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,19bc042a_821e_452f_a147_7ae77ef538cf,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,1dbe71c3_de17_48e2_ab8c_78fbc2a4d6d4,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,24f0b9d5_5974_4f4b_a426_29bcc7621309,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,2914b40c_16ea_4d18_a851_f1e7c365a9aa,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,4393f84e_3f93_47cd_9818_5724b0055a8e,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,4703c740_ad2b_4b53_b472_8648aa9873b7,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
83297a8f_3a04_43d0_8bb6_af6ee2d88c1a,5086ebda_8248_421b_9e69_d6bcc5188591,95fceaa5_6dfc_4d5e_942a_ae087f1e80dd,72657c72_ce2b_40df_8d13_424407d0d8b9,Airbus Mobile Express RoRo Ship,107,14400,25,500,2,500,3
