id,inputProduct,outputProduct,recipeSupply,name,machines,duration,fte
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,0dc67983_0317_4b51_b312_d93a32e2b031,6ac7cd56_350e_4c3f_be2c_e048445cb32c,d62c3041_4686_43b8_aaad_f3c790683965,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,4703c740_ad2b_4b53_b472_8648aa9873b7,6ac7cd56_350e_4c3f_be2c_e048445cb32c,d62c3041_4686_43b8_aaad_f3c790683965,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,c1ead980_7709_4e21_b183_b229044a4643,6ac7cd56_350e_4c3f_be2c_e048445cb32c,d62c3041_4686_43b8_aaad_f3c790683965,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,0dc67983_0317_4b51_b312_d93a32e2b031,6ac7cd56_350e_4c3f_be2c_e048445cb32c,d73df91e_0efa_4466_b8c0_b11ca691b4fa,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,c1ead980_7709_4e21_b183_b229044a4643,6ac7cd56_350e_4c3f_be2c_e048445cb32c,e75cd45c_6398_4881_b117_defc46574296,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,4703c740_ad2b_4b53_b472_8648aa9873b7,6ac7cd56_350e_4c3f_be2c_e048445cb32c,d73df91e_0efa_4466_b8c0_b11ca691b4fa,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,0dc67983_0317_4b51_b312_d93a32e2b031,6ac7cd56_350e_4c3f_be2c_e048445cb32c,e75cd45c_6398_4881_b117_defc46574296,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,4703c740_ad2b_4b53_b472_8648aa9873b7,6ac7cd56_350e_4c3f_be2c_e048445cb32c,e75cd45c_6398_4881_b117_defc46574296,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
ae3d9a45_b9c2_4bca_9f9e_7c612f33665c,c1ead980_7709_4e21_b183_b229044a4643,6ac7cd56_350e_4c3f_be2c_e048445cb32c,d73df91e_0efa_4466_b8c0_b11ca691b4fa,Assemble S123456 Full Fuselage in Hamburg FAL,1,6571.56,1
c973bb22_3e60_4799_8e69_661cc11ce3a8,c1ead980_7709_4e21_b183_b229044a4643,6ac7cd56_350e_4c3f_be2c_e048445cb32c,e75cd45c_6398_4881_b117_defc46574296,Assemble S123456 Full Fuselage in Mirabel FAL,1,7143,1
